notNorm doubleKills 1
notNorm tripleKills 1
notNorm quadraKills 1
notNorm pentaKills  1
all kills 6
all deaths -8
all assists 5
all longestTimeSpentLiving 2
all largestKillingSpree 3
all xpPerMinDeltaEarlyGame 1
all xpPerMinDeltaMidGame 1
all xpPerMinDeltaLateGame 1
all xpPerMinDeltaEndGame 1
all goldPerMinDeltasEarlyGame 1
all goldPerMinDeltasMidGame 1
all goldPerMinDeltasLateGame 1
all goldPerMinDeltasEndGame 1
all totalDamageDealt 1
all totalDamageDealtToChampions 1
all damageDealtToTurrets 1
diffFeats csDiffPerMinDeltasEarlyGame 2
diffFeats csDiffPerMinDeltasMidGame 2
diffFeats csDiffPerMinDeltasLateGame 2
diffFeats csDiffPerMinDeltasEndGame 2
diffFeats xpDiffPerMinDeltasEarlyGame 2
diffFeats xpDiffPerMinDeltasMidGame 2
diffFeats xpDiffPerMinDeltasLateGame 2
diffFeats xpDiffPerMinDeltasEndGame 2
supp visionScore 2
supp visionWardsBoughtInGame 2
supp wardsPlaced 2
supp wardsKilled 2
supp assists 3
supp goldEarned 4
supp timeCCingOthers 1
supp totalHeal 1
supp totalUnitsHealed 1
mid creepsPerMinDeltaEarlyGame 1
mid creepsPerMinDeltaMidGame 1
mid creepsPerMinDeltaLateGame 1
mid creepsPerMinDeltaEndGame 1
mid totalMinionsKilled 1
mid goldEarned 1
bot creepsPerMinDeltaEarlyGame 1
bot creepsPerMinDeltaMidGame 1
bot creepsPerMinDeltaLateGame 1
bot creepsPerMinDeltaEndGame 1
bot totalMinionsKilled 1
bot goldEarned 1
top creepsPerMinDeltaEarlyGame 1
top creepsPerMinDeltaMidGame 1
top creepsPerMinDeltaLateGame 1
top creepsPerMinDeltaEndGame 1
top totalMinionsKilled 1
top goldEarned 1
jungle damageDealtToObjectives 1
jungle neutralMinionsKilled 1
jungle neutralMinionsKilledTeamJungle 2
jungle neutralMinionsKilledEnemyJungle 2
jungle goldEarned 1
